FB1	FB2	L1	L2
AT2G16380.1	18	17	658	1018
AT2G16385.1.Hnull	1	6	0	2
AT2G16390.1.Hnull	440	347	370	342
AT2G16400.1.Hnull	1101	1262	1123	1410
AT2G16405.1.Hnull	640	445	861	459
AT2G16410.1.Hnull	0	0	0	0
AT2G16420.1.Hnull	0	0	0	0
AT2G16430.2.Hnull	2213	2411	1896	2175
AT2G16440.1.Hnull	98	633	32	655
AT2G16450.1.Hnull	0	5	0	5
AT2G16460.1.Hnull	469	358	360	289
AT2G16485.1.Hnull	2169	2014	3636	2266
AT2G16490.1	1	0	1	2
AT2G16500.1.Hnull	11158	4973	6660	5672
AT2G16505.1.Hnull	0	0	1	0
AT2G16510.1.Hnull	2418	2422	1759	2666
AT2G16520.1	76	40	0	0
AT2G16530.1.Hnull	353	73	433	60
AT2G16535.1	479	204	0	0
AT2G16540.1.Hnull	0	0	0	0
AT2G16550.1.Hnull	0	0	0	0
AT2G16560.1.Hnull	0	0	0	1
AT2G16570.1.Hnull	6	105	14	114
AT2G16575.1.Hnull	3	11	1	6
AT2G16580.1.Hnull	6	39	2	43
AT2G16586.1.Hnull	473	462	497	770
AT2G16592.1.Hnull	0	0	0	0
AT2G16594.1.Hnull	0	0	0	0
AT2G16595.1.Hnull	171	41	287	38
AT2G16600.1.Hnull	13786	12327	19041	14401
AT2G16610.1	0	0	0	0
AT2G16620.1.Hnull	0	0	0	0
AT2G16630.1	661	795	425	318
AT2G16640.1.Hnull	1783	1720	3365	2328
AT2G16650.1.Hnull	189	239	442	281
AT2G16660.1.Hnull	2379	1913	1969	1776
AT2G16668.1.Hnull	0	1	0	0
AT2G16670.1.Hnull	0	9	2	10
AT2G16676.1.Hnull	1	0	0	0
AT2G16680.1.Hnull	0	0	0	0
AT2G16690.1.Hnull	0	0	0	0
AT2G16700.1	442	390	196	269
AT2G16710.3	653	479	486	685
AT2G16720.1.Hnull	323	62	245	53
AT2G16730.1.Hnull	9	54	19	68
AT2G16740.1.Hnull	850	323	931	311
AT2G16750.1.Hnull	337	503	131	381
AT2G16760.1.Hnull	2	32	4	48
AT2G16770.1.Hnull	207	121	187	128
AT2G16780.1	1603	1115	128	75
AT2G16790.1	58	27	65	8
AT2G16800.1	843	988	781	875
AT2G16810.1.Hnull	0	4	0	2
AT2G16820.1.Hnull	0	0	0	0
AT2G16830.1.Hnull	0	2	0	6
AT2G16832.1.Hnull	0	0	0	0
AT2G16835.1.Hnull	0	5	0	10
AT2G16840.1	0	0	0	0
AT2G16850.1.Hnull	156	560	42	466
AT2G16860.1.Hnull	1620	1216	1839	1285
AT2G16870.1.Hnull	298	160	319	153
AT2G16880.1.Hnull	505	236	641	327
AT2G16881.1.Hnull	0	0	0	1
AT2G16890.2.Hnull	327	103	555	71
AT2G16895.1.Hnull	10	14	12	13
AT2G16900.1.Hnull	488	426	696	479
AT2G16905.1.Hnull	0	0	1	2
AT2G16910.1.Hnull	4	7	22	7
AT2G16920.1.Hnull	1047	859	1483	969
AT2G16930.2.Hnull	756	569	922	543
AT2G16940.2.Hnull	3297	2951	3328	3554
AT2G16950.1	2062	2792	3107	4042
AT2G16955.1.Hnull	0	0	0	0
AT2G16960.1.Hnull	1	18	0	31
AT2G16970.1.Hnull	0	7	0	7
AT2G16980.2.Hnull	10	10	19	12
AT2G16990.1.Hnull	369	298	481	296
AT2G17000.1.Hnull	0	1	0	1
AT2G17010.1	129	211	3	13
AT2G17020.1.Hnull	943	699	864	617
AT2G17030.1	602	452	339	467
AT2G17033.2	1147	1056	1140	1612
AT2G17036.1	34	92	112	65
AT2G17040.1.Hnull	2078	371	3250	280
AT2G17043.1.Hnull	0	0	0	0
AT2G17050.1.Hnull	18	8	42	10
AT2G17055.1.Hnull	0	0	3	0
AT2G17060.1.Hnull	8	15	37	9
AT2G17064.1.Hnull	0	0	0	0
AT2G17070.1.Hnull	0	0	0	0
AT2G17080.1	4	5	0	0
AT2G17090.1.Hnull	0	0	0	0
AT2G17110.1.Hnull	736	412	1272	479
AT2G17115.1.Hnull	0	4	0	3
AT2G17120.1.Hnull	1550	373	1229	339
AT2G17130.1.Hnull	1140	852	1361	1007
AT2G17140.1.Hnull	81	115	103	139
AT2G17150.1.Hnull	897	300	1049	316
AT2G17160.1	0	0	0	0
AT2G17170.1.Hnull	0	0	0	0
AT2G17180.1.Hnull	0	0	0	0
AT2G17190.1.Hnull	2990	2027	3572	2257
AT2G17200.1.Hnull	4334	2038	5304	2355
AT2G17210.1.Hnull	31	43	43	55
AT2G17220.1.Hnull	2034	591	2268	654
AT2G17230.1.Hnull	1095	1134	311	847
AT2G17240.1.Hnull	1243	1958	1780	2475
AT2G17250.1.Hnull	289	424	587	383
AT2G17260.1.Hnull	232	82	242	82
AT2G17265.1.Hnull	1437	1346	1421	1498
AT2G17270.1.Hnull	207	60	180	68
AT2G17280.1	2559	1589	396	288
AT2G17290.1.Hnull	1444	538	2224	601
AT2G17295.1.Hnull	0	0	0	0
AT2G17300.1.Hnull	273	153	85	126
AT2G17305.1.Hnull	0	0	0	0
AT2G17310.1.Hnull	0	0	0	0
AT2G17320.1.Hnull	626	720	684	702
AT2G17330.1.Hnull	1	0	5	1
AT2G17340.1	2990	1802	4779	2628
AT2G17350.1.Hnull	676	442	614	573
AT2G17360.1.Hnull	2609	6391	2581	6718
AT2G17370.1.Hnull	236	449	160	629
AT2G17380.1.Hnull	930	664	743	726
AT2G17390.1.Hnull	4636	3818	4571	3856
AT2G17410.1	2281	2922	1719	2447
AT2G17420.1	3070	2460	2894	2703
AT2G17430.1.Hnull	91	18	136	22
AT2G17440.1.Hnull	474	373	512	424
AT2G17442.1.Hnull	30	71	31	99
AT2G17450.1.Hnull	705	1452	813	1411
AT2G17460.1	0	0	0	0
AT2G17470.1.Hnull	55	151	82	167
AT2G17477.1.Hnull	0	0	0	0
AT2G17480.1.Hnull	567	564	535	567
AT2G17490.1	117	58	4	3
AT2G17500.1.Hnull	960	28	810	37
AT2G17510.2.Hnull	1630	1031	2412	1093
AT2G17520.1.Hnull	2017	793	2808	885
AT2G17525.1.Hnull	147	193	204	247
AT2G17530.1.Hnull	697	418	726	421
AT2G17540.2.Hnull	972	654	769	676
AT2G17550.1.Hnull	1094	473	483	432
AT2G17556.1.Hnull	0	0	0	0
AT2G17560.1.Hnull	954	1357	866	1828
AT2G17570.1	240	184	201	258
AT2G17580.1.Hnull	407	312	429	311
AT2G17590.1.Hnull	0	0	0	0
AT2G17600.1.Hnull	0	0	0	0
AT2G17610.1	0	0	0	0
AT2G17620.1.Hnull	3	7	0	10
AT2G17630.1.Hnull	61	416	70	527
AT2G17640.1	710	591	729	780
AT2G17650.1	363	410	444	553
AT2G17660.1.Hnull	17	112	9	80
AT2G17670.1.Hnull	124	291	279	397
AT2G17680.1.Hnull	0	0	0	0
AT2G17690.1.Hnull	7	37	9	21
AT2G17695.1.Hnull	3115	1973	2580	1861
AT2G17700.1.Hnull	1175	544	1231	565
AT2G17705.1.Hnull	320	180	392	156
AT2G17710.1	939	944	1575	3632
AT2G17720.1	1406	1072	992	1156
AT2G17723.1.Hnull	0	0	0	0
AT2G17730.2.Hnull	634	194	753	174
AT2G17740.1.Hnull	13	8	9	4
AT2G17750.1.Hnull	0	1	0	2
AT2G17760.1.Hnull	1351	525	1368	588
AT2G17770.2.Hnull	4	5	7	13
AT2G17780.1.Hnull	483	573	168	633
AT2G17785.1.Hnull	1	0	0	0
AT2G17787.1.Hnull	299	239	357	274
AT2G17790.1.Hnull	1370	968	1828	1092
AT2G17800.1	3194	2242	829	567
AT2G17810.1.Hnull	0	0	0	0
AT2G17820.1.Hnull	2572	1864	4063	1998
AT2G17830.1.Hnull	54	123	45	98
AT2G17840.1	913	1506	1912	3259
AT2G17845.1	135	135	2	0
AT2G17850.1.Hnull	0	0	0	0
AT2G17860.1.Hnull	2	55	0	115
AT2G17870.1.Hnull	794	1678	1202	2204
AT2G17880.1.Hnull	148	290	64	266
AT2G17890.1.Hnull	3	30	2	21
AT2G17900.1	377	271	93	83
AT2G17910.1	0	0	0	0
AT2G17920.1.Hnull	0	0	0	0
AT2G17930.1.Hnull	5336	2549	9412	2766
AT2G17940.1.Hnull	2	0	2	0
AT2G17950.1.Hnull	1	0	0	0
AT2G17960.1.Hnull	0	0	0	0
AT2G17970.1.Hnull	430	308	521	280
AT2G17972.1.Hnull	676	1485	624	1965
AT2G17975.1.Hnull	218	156	145	173
AT2G17980.1.Hnull	1826	1215	2330	1317
AT2G17990.1.Hnull	1410	897	1874	962
AT2G18000.2	122	64	25	26
AT2G18010.1.Hnull	9	6	0	3
AT2G18020.1.Hnull	5238	13120	5186	13512
AT2G18030.1.Hnull	441	285	284	259
AT2G18040.1.Hnull	3527	2336	3161	2324
AT2G18042.1.Hnull	0	0	1	0
AT2G18050.1.Hnull	1593	57	3480	65
AT2G18060.1	64	40	8	9
AT2G18070.1	0	0	0	0
AT2G18080.1.Hnull	5	42	0	49
AT2G18090.1.Hnull	1526	657	1709	698
AT2G18100.1.Hnull	76	88	56	103
AT2G18110.1.Hnull	1533	1940	1436	2122
AT2G18115.1.Hnull	6	146	3	144
AT2G18120.1	31	30	33	25
AT2G18130.1.Hnull	0	0	0	0
AT2G18140.1.Hnull	0	0	0	0
AT2G18150.1.Hnull	0	0	0	0
AT2G18160.1.Hnull	3	3	5	3
AT2G18162.1.Hnull	8	1	5	4
AT2G18170.1	1566	1593	923	2113
AT2G18180.1.Hnull	9	26	7	21
AT2G18190.1	51	56	0	3
AT2G18193.1.Hnull	25	14	131	19
AT2G18196.1.Hnull	122	22	184	24
AT2G18200.1.Hnull	3	284	4	409
AT2G18210.1.Hnull	62	185	26	125
AT2G18220.1.Hnull	259	788	509	919
AT2G18230.1.Hnull	3896	803	4085	872
AT2G18240.1.Hnull	615	202	646	229
AT2G18245.1.Hnull	318	524	358	671
AT2G18250.1.Hnull	485	397	572	447
AT2G18260.1.Hnull	52	78	47	82
AT2G18270.1.Hnull	1	22	0	19
AT2G18280.1.Hnull	4092	1346	3287	1639
AT2G18290.1.Hnull	395	609	664	677
AT2G18300.3.Hnull	3935	3278	2088	3169
AT2G18310.1.Hnull	0	0	0	0
AT2G18320.1.Hnull	5	0	1	2
AT2G18323.1	0	0	0	0
AT2G18328.1.Hnull	3008	1292	1749	1329
AT2G18330.1.Hnull	261	554	304	580
AT2G18340.1.Hnull	1	3	2	5
AT2G18350.1.Hnull	252	201	523	306
AT2G18360.1.Hnull	1	0	0	1
AT2G18370.1.Hnull	9	0	0	0
AT2G18380.1.Hnull	39	54	27	39
AT2G18390.1.DE	1046	619	311	215
AT2G18400.1.Hnull	230	405	125	363
AT2G18410.1.Hnull	251	183	338	192
AT2G18420.1	393	392	16	1
AT2G18440.1.Hnull	11954	2151	12988	2217
AT2G18450.1.Hnull	3	114	0	115
AT2G18460.1	130	97	2	1
AT2G18465.1.Hnull	260	190	254	189
AT2G18470.1	872	1320	5	3
AT2G18480.1.Hnull	8	6	2	11
AT2G18490.1.Hnull	0	0	0	0
AT2G18500.1	121	74	3	2
AT2G18510.1.Hnull	690	987	1134	1417
AT2G18520.1.Hnull	32	137	47	189
AT2G18530.1.Hnull	0	0	0	0
AT2G18540.1.Hnull	0	3	3	2
AT2G18550.1.Hnull	19	0	11	0
AT2G18560.1.Hnull	417	658	212	625
AT2G18570.1.Hnull	356	197	244	276
AT2G18580.1	0	2	1	0
AT2G18590.1	0	0	0	0
AT2G18600.1.Hnull	58	69	128	74
AT2G18610.1.Hnull	0	0	0	0
AT2G18620.1.Hnull	6	70	3	94
AT2G18630.1.Hnull	874	808	627	810
AT2G18640.1.Hnull	3	113	2	243
AT2G18650.1.Hnull	9	62	41	82
AT2G18660.1.Hnull	804	9	720	13
AT2G18670.1.Hnull	561	372	1285	472
AT2G18680.1.Hnull	6	7	6	10
AT2G18690.1.Hnull	696	102	645	76
AT2G18700.1.Hnull	1618	4193	2439	5244
AT2G18710.1.Hnull	3283	4170	3710	4717
AT2G18720.1.Hnull	0	42	4	44
AT2G18721.1.Hnull	0	0	0	0
AT2G18730.1.Hnull	2935	1004	2411	1089
AT2G18735.1.Hnull	194	31	215	31
AT2G18740.1	3308	1530	1003	748
AT2G18750.1	2427	2551	3955	5443
AT2G18760.1.Hnull	584	391	722	432
AT2G18770.1.Hnull	475	269	379	275
AT2G18780.1.Hnull	56	29	103	26
AT2G18790.1.Hnull	9221	2827	9013	3116
AT2G18800.1.Hnull	2	40	0	22
AT2G18810.1.Hnull	0	0	0	1
AT2G18820.1.Hnull	0	0	0	1
AT2G18830.1.Hnull	0	0	0	0
AT2G18840.1.Hnull	488	398	502	538
AT2G18850.1	771	514	408	543
AT2G18860.1.Hnull	1382	339	1010	256
AT2G18870.1	1	0	0	0
AT2G18876.1.Hnull	562	344	568	417
AT2G18880.1.Hnull	1	21	1	18
AT2G18890.1	960	589	435	354
AT2G18900.1.Hnull	261	825	653	755
AT2G18910.1	941	703	748	699
AT2G18915.2.Hnull	1027	758	1121	866
AT2G18917.1.Hnull	54	40	86	43
AT2G18920.1.Hnull	0	0	0	0
AT2G18930.1	0	0	0	2
AT2G18938.1.Hnull	4	1	2	2
AT2G18940.1.Hnull	1336	2103	1481	2533
AT2G18950.1.Hnull	1115	541	1642	560
AT2G18960.1.Hnull	32715	14776	39488	16364
AT2G18969.1.Hnull	24	12	8	18
AT2G18970.1	27	20	4	0
AT2G18980.1.Hnull	5	1	6	2
AT2G18990.1	1383	764	244	188
AT2G19000.1.Hnull	10	32	11	64
AT2G19010.1	292	303	0	0
AT2G19020.1.Hnull	0	0	0	0
AT2G19030.1.Hnull	0	0	0	0
AT2G19040.1.Hnull	0	0	0	0
AT2G19045.1.Hnull	0	0	0	0
AT2G19050.1.Hnull	1	0	1	0
AT2G19060.1.Hnull	0	0	0	0
AT2G19070.1.Hnull	1	0	4	1
AT2G19080.1.Hnull	714	496	840	535
AT2G19090.1.Hnull	39	83	34	104
AT2G19100.1.Hnull	0	0	0	0
AT2G19110.1.Hnull	1014	668	1204	688
AT2G19120.1.Hnull	118	251	219	309
AT2G19130.1.Hnull	1347	421	3200	522
AT2G19140.1.Hnull	0	3	0	1
AT2G19146.1.Hnull	0	0	0	2
AT2G19150.1	0	0	2	0
AT2G19160.1.Hnull	648	395	694	422
AT2G19170.1.Hnull	280	687	175	767
AT2G19180.1.Hnull	1044	429	1085	400
AT2G19190.1.Hnull	99	0	184	2
AT2G19200.1.Hnull	2	4	4	5
AT2G19210.1.Hnull	0	0	0	0
AT2G19220.1.Hnull	0	15	0	9
AT2G19230.1.Hnull	0	0	0	1
AT2G19240.1	90	70	25	31
AT2G19250.1.Hnull	223	310	339	294
AT2G19260.1.Hnull	322	273	474	238
AT2G19270.1.Hnull	830	582	963	626
AT2G19280.1.Hnull	337	251	426	262
AT2G19290.1.Hnull	0	2	2	9
AT2G19300.1.Hnull	0	0	0	0
AT2G19310.1.Hnull	1498	580	3730	616
AT2G19320.1.Hnull	0	0	0	0
AT2G19330.1.Hnull	9	7	20	5
AT2G19340.1.Hnull	225	147	238	206
AT2G19350.1.Hnull	382	107	439	94
AT2G19360.1.Hnull	5	120	3	124
AT2G19380.1	208	122	48	42
AT2G19385.1.Hnull	134	296	221	296
AT2G19390.1	728	1143	790	1174
AT2G19400.1.Hnull	179	339	169	379
AT2G19410.1.Hnull	1	2	0	2
AT2G19420.1.Hnull	0	0	0	0
AT2G19425.1.Hnull	0	0	0	0
AT2G19430.1.Hnull	459	340	572	417
AT2G19440.1.Hnull	0	65	0	58
AT2G19450.1.Hnull	57	648	491	994
AT2G19460.1	349	165	352	167
AT2G19470.1	1593	1406	1053	1420
AT2G19480.1.Hnull	3272	6070	4248	7638
AT2G19490.1.Hnull	87	116	174	84
AT2G19500.1.Hnull	0	4	0	4
AT2G19510.1.Hnull	0	0	0	0
AT2G19520.1	4759	4213	1455	1903
AT2G19530.1.Hnull	33	69	17	87
AT2G19540.1.Hnull	1757	1844	2536	1831
AT2G19550.1.Hnull	16	18	28	17
AT2G19560.1.Hnull	501	372	491	309
AT2G19570.1.Hnull	65	21	28	26
AT2G19572.1	8	8	9	2
AT2G19580.1.Hnull	123	37	87	24
AT2G19582.1.Hnull	1	3	4	3
AT2G19590.1	63	37	42	27
AT2G19600.1.Hnull	631	481	547	509
AT2G19610.2.Hnull	0	1	0	3
AT2G19620.1.Hnull	216	268	121	236
AT2G19630.1.Hnull	2	0	0	2
AT2G19640.2.Hnull	119	186	266	219
AT2G19650.1.Hnull	1669	175	1802	125
AT2G19660.1.Hnull	3	2	1	5
AT2G19670.1.Hnull	30	446	20	448
AT2G19680.1.Hnull	1143	1125	784	1259
AT2G19690.2.Hnull	115	130	58	114
AT2G19700.1.Hnull	1	0	2	0
AT2G19710.1.Hnull	662	443	687	386
AT2G19720.1.Hnull	69	186	79	203
AT2G19730.1.Hnull	2426	4918	2030	4901
AT2G19740.1.DE	3186	2058	1183	1038
AT2G19750.1.Hnull	720	1548	828	1600
AT2G19755.1.Hnull	0	0	0	0
AT2G19760.1.Hnull	1985	1620	1374	1608
AT2G19770.1.Hnull	0	0	2	2
AT2G19780.1.Hnull	326	183	52	167
AT2G19790.1	1713	1279	945	979
AT2G19796.1.Hnull	0	0	0	0
AT2G19800.1.Hnull	22	10	29	9
AT2G19802.1.Hnull	0	0	0	0
AT2G19803.1.Hnull	2	0	0	0
AT2G19806.1.Hnull	3	5	2	7
AT2G19810.1.Hnull	1111	699	3064	693
AT2G19820.1.Hnull	0	0	0	0
AT2G19825.1	0	1	4	0
AT2G19830.1.Hnull	4276	2201	4090	2082
AT2G19840.1.Hnull	0	0	0	0
AT2G19850.2.Hnull	1	0	2	0
AT2G19860.1.Hnull	1694	1981	1667	1957
AT2G19870.1.Hnull	713	1811	921	1973
AT2G19880.2	2384	1725	956	636
AT2G19890.1.Hnull	0	0	0	0
AT2G19893.1.Hnull	0	0	0	0
AT2G19900.1.Hnull	1	65	1	42
AT2G19910.1.Hnull	19	11	37	15
AT2G19920.1.Hnull	3	6	4	13
AT2G19930.1.Hnull	60	30	174	40
AT2G19940.1	1712	1452	1079	968
AT2G19950.2.Hnull	1019	874	1259	908
AT2G19960.1	39	13	0	2
AT2G19970.1.Hnull	6	2	2	0
AT2G19980.1.Hnull	17	10	1	10
AT2G19990.1.Hnull	41	15	21	23
AT2G20000.1.Hnull	1110	566	1269	530
AT2G20010.2.Hnull	1271	600	1365	613
AT2G20020.1.Hnull	1022	2657	1913	2952
AT2G20030.1	10	11	0	0
AT2G20050.1.Hnull	2944	2213	3179	2408
AT2G20060.1.Hnull	467	844	668	762
AT2G20070.1.Hnull	0	0	0	0
AT2G20080.1.Hnull	0	0	0	0
AT2G20100.1	567	355	356	357
AT2G20110.2	255	171	50	79
AT2G20120.1	1657	1571	996	910
AT2G20130.1.Hnull	567	295	558	373
AT2G20140.1	2869	1926	909	915
AT2G20142.1.Hnull	301	22	214	19
AT2G20150.1.Hnull	0	0	2	0
AT2G20160.1	5	0	0	0
AT2G20170.1.Hnull	7	7	2	5
AT2G20180.2.Hnull	676	938	1101	1156
AT2G20190.1.Hnull	4177	2780	4362	3146
AT2G20208.1.Hnull	0	0	0	0
AT2G20210.1.Hnull	319	153	221	131
AT2G20230.1.Hnull	3104	1882	3383	2176
AT2G20240.1.Hnull	216	434	135	394
AT2G20250.1.Hnull	97	222	51	218
AT2G20260.1.Hnull	12456	19373	7337	15493
AT2G20270.2.Hnull	796	1266	805	1079
AT2G20280.1.Hnull	1126	1285	1612	1652
AT2G20290.1.Hnull	613	1042	444	1180
AT2G20298.1	0	0	0	0
AT2G20300.1.Hnull	934	746	670	750
AT2G20310.1.Hnull	292	241	386	254
AT2G20320.1.Hnull	729	352	1331	401
AT2G20330.1.Hnull	1017	1025	1274	1260
AT2G20340.1.Hnull	3496	866	3087	949
AT2G20350.1	0	0	0	0
AT2G20360.1.Hnull	4270	3865	3572	3968
AT2G20362.1.Hnull	23	34	17	32
AT2G20370.1.Hnull	1182	1050	1111	1132
AT2G20380.1.Hnull	0	10	1	9
AT2G20390.2	547	437	215	230
AT2G20400.1	364	450	286	434
AT2G20410.1.Hnull	400	158	431	183
AT2G20420.1.Hnull	4761	4678	5141	5042
AT2G20430.1	278	131	1	0
AT2G20440.1	1527	1155	308	427
AT2G20450.1.Hnull	493	2771	716	3017
AT2G20453.1.Hnull	0	0	0	0
AT2G20460.1.Hnull	0	4	0	1
AT2G20463.1.Hnull	0	0	0	0
AT2G20465.1	0	0	0	0
AT2G20470.1.Hnull	7	10	5	30
AT2G20480.1	155	109	13	22
AT2G20490.1.Hnull	260	679	357	571
AT2G20495.1.Hnull	314	198	358	242
AT2G20500.1	94	82	158	179
AT2G20510.1.Hnull	0	65	4	77
AT2G20515.1	682	507	32	86
AT2G20520.1.Hnull	2	7	0	19
AT2G20530.1.Hnull	602	1211	577	1547
AT2G20540.1.Hnull	33	30	41	34
AT2G20550.1	273	309	253	198
AT2G20555.1.Hnull	1	1	1	3
AT2G20560.1.Hnull	175	115	1359	140
AT2G20562.1.Hnull	58	28	87	15
AT2G20570.2.Hnull	16205	4708	15958	6948
AT2G20580.1.Hnull	4423	4627	5911	4929
AT2G20585.1.Hnull	73	190	111	223
AT2G20590.1.Hnull	18	33	30	34
AT2G20595.1.Hnull	0	0	0	0
AT2G20597.1.Hnull	0	0	1	0
AT2G20600.1.Hnull	1	0	1	0
AT2G20605.1.Hnull	0	0	0	0
AT2G20610.1.Hnull	6831	3992	4881	4068
AT2G20613.1.Hnull	0	3	0	3
AT2G20616.1	0	0	0	0
AT2G20618.1.Hnull	0	0	0	0
AT2G20619.1	0	0	0	0
AT2G20620.1.Hnull	0	0	0	0
AT2G20625.1.Hnull	0	2	0	0
AT2G20630.2.Hnull	4460	3012	3360	3399
AT2G20635.1.Hnull	38	89	24	117
AT2G20650.1	378	459	209	152
AT2G20660.1.Hnull	0	0	0	1
AT2G20670.1.Hnull	548	7890	47	4634
AT2G20680.1	872	461	172	86
AT2G20690.1.Hnull	1023	2661	1300	3203
AT2G20700.1.Hnull	53	20	18	14
AT2G20710.1	286	297	35	55
AT2G20720.1.Hnull	122	67	146	92
AT2G20721.1.Hnull	13	31	11	17
AT2G20722.1.Hnull	9	7	6	7
AT2G20723.1	32	14	4	7
AT2G20724.1.Hnull	679	529	273	586
AT2G20725.1.Hnull	1643	1526	1465	2139
AT2G20740.1.Hnull	1146	608	1362	622
AT2G20750.1.Hnull	314	806	9	939
AT2G20760.1.Hnull	2130	2293	2015	2263
AT2G20770.1.Hnull	189	123	202	139
AT2G20780.1.Hnull	521	546	1022	755
AT2G20784.1.Hnull	2	4	1	2
AT2G20790.1	693	1251	827	1153
AT2G20800.1.Hnull	0	6	1	3
AT2G20805.1.Hnull	0	0	0	0
AT2G20810.1	1733	1462	903	903
AT2G20815.1.Hnull	90	74	119	70
AT2G20816.1.Hnull	0	0	0	0
AT2G20818.1.Hnull	0	0	0	0
AT2G20820.2.Hnull	2444	1654	2468	1381
AT2G20825.1.Hnull	3	1	0	0
AT2G20830.2.Hnull	1273	785	1195	936
AT2G20835.1.Hnull	13	73	21	76
AT2G20840.1.Hnull	260	406	186	449
AT2G20850.1.Hnull	489	611	940	587
AT2G20860.1	2346	3278	4135	4033
AT2G20870.1.Hnull	22	2	31	5
AT2G20875.1	47	24	97	71
AT2G20880.1	7	187	8	267
AT2G20890.1	12986	9945	15973	11462
AT2G20900.1.Hnull	1035	564	1647	645
AT2G20910.1.Hnull	21	359	16	440
AT2G20920.1.Hnull	3649	2897	4910	3459
AT2G20921.1	0	0	0	0
AT2G20930.1.Hnull	535	752	579	638
AT2G20940.1.Hnull	73	113	131	92
AT2G20950.4.Hnull	1407	1445	1811	1835
AT2G20960.1.Hnull	2645	3112	4792	3811
AT2G20970.2	129	104	0	0
AT2G20980.1.Hnull	15	131	2	164
AT2G20990.3.Hnull	7528	9190	7105	8811
AT2G20993.1.Hnull	0	0	0	0
AT2G21000.1.Hnull	0	0	0	0
AT2G21010.1	17	12	8	8
AT2G21020.1.Hnull	2	1	0	1
AT2G21030.1.Hnull	0	3	0	3
AT2G21040.1.Hnull	4	47	1	72
AT2G21045.1.Hnull	0	0	0	1
AT2G21050.1.DE	1635	1393	366	119
AT2G21060.1.Hnull	330	1416	391	1779
AT2G21070.3.Hnull	120	148	180	167
AT2G21080.1.Hnull	316	251	274	284
AT2G21090.1	447	347	77	106
AT2G21100.1.Hnull	14	0	0	0
AT2G21110.1.Hnull	0	0	0	0
AT2G21120.1.Hnull	1747	746	1724	726
AT2G21130.1	1516	1576	149	652
AT2G21140.1.Hnull	1144	852	251	1356
AT2G21150.1.Hnull	671	742	591	933
AT2G21160.1	8123	5133	2559	2041
AT2G21170.1.Hnull	11622	18830	9503	20119
AT2G21172.1	0	0	0	0
AT2G21180.1.Hnull	291	135	397	118
AT2G21185.1.Hnull	263	26	212	13
AT2G21187.1.Hnull	30	4	32	4
AT2G21188.1.Hnull	209	33	163	21
AT2G21190.1	1569	1178	1209	1285
AT2G21195.2.Hnull	403	272	368	218
AT2G21200.1.Hnull	55	27	8	25
AT2G21210.1	203	253	868	458
AT2G21220.1.Hnull	39	43	13	37
AT2G21230.3.Hnull	960	852	1057	955
AT2G21235.1.Hnull	0	0	0	0
AT2G21237.1.Hnull	0	0	0	0
AT2G21240.1.Hnull	1324	839	1418	1055
AT2G21250.1.Hnull	2547	3568	3649	3904
AT2G21260.1.Hnull	5	161	9	221
AT2G21270.3.Hnull	2256	914	2637	815
AT2G21280.1.Hnull	2805	3259	2296	3219
AT2G21290.1.Hnull	661	1372	677	1661
AT2G21300.1.Hnull	1865	2239	1496	2552
AT2G21310.1.Hnull	2	0	7	0
AT2G21320.1.Hnull	2456	607	2316	436
AT2G21330.1.Hnull	136670	61519	105344	56717
AT2G21340.1.Hnull	3416	2584	3653	2626
AT2G21350.1.Hnull	17	72	64	90
AT2G21360.1.Hnull	0	0	0	0
AT2G21370.1.Hnull	2011	2185	1760	2064
AT2G21380.1.Hnull	3266	4946	3610	4746
AT2G21385.4	2026	1554	1876	1855
AT2G21390.1.Hnull	5288	5235	6251	5829
AT2G21400.1	12	6	1	1
AT2G21410.1	3142	3611	2974	2603
AT2G21420.1.Hnull	20	341	9	361
AT2G21430.1.Hnull	42	416	58	542
AT2G21440.1	1392	2091	751	1607
AT2G21450.1	368	268	0	0
AT2G21460.1	1	26	242	637
AT2G21465.1.Hnull	0	0	0	0
AT2G21470.2.Hnull	1958	864	2410	805
AT2G21480.1	314	621	3	1
AT2G21490.1.Hnull	2	2	8	10
AT2G21500.2.Hnull	639	253	1631	252
AT2G21510.1.Hnull	11	93	13	89
AT2G21520.2.Hnull	2812	2201	3528	2179
AT2G21530.1.Hnull	4086	4308	3808	4257
AT2G21540.1.Hnull	236	542	66	512
AT2G21550.1	38	28	95	93
AT2G21560.1.Hnull	1100	157	1137	186
AT2G21570.1.Hnull	0	0	0	0
AT2G21580.1.Hnull	1768	3809	2002	3857
AT2G21590.1	2405	1599	243	479
AT2G21600.1.Hnull	1636	1012	1548	871
AT2G21610.1.Hnull	0	0	0	0
AT2G21620.2.Hnull	1761	2149	3110	2762
AT2G21630.1.Hnull	241	214	363	232
AT2G21640.1	227	102	82	129
AT2G21650.1.Hnull	1005	669	756	865
AT2G21655.1.Hnull	0	0	0	0
AT2G21660.1.Hnull	1610	70012	19038	99236
AT2G21670.1.Hnull	0	0	0	0
AT2G21680.1.Hnull	0	0	0	0
AT2G21690.1	0	0	0	0
AT2G21700.1.Hnull	0	0	0	0
AT2G21710.1.Hnull	71	307	94	406
AT2G21720.1.Hnull	0	0	0	0
AT2G21725.1.Hnull	0	0	0	0
AT2G21727.1.Hnull	0	0	0	0
