FB1	FB2	L1	L2
AT2G06880.1	0	0	0	0
AT2G06885.1	0	0	2	0
AT2G06890.1	6	1	2	3
AT2G06900.1	0	0	0	0
AT2G06902.1	0	0	0	0
AT2G06904.1	0	0	0	0
AT2G06906.1.Hnull	0	0	0	0
AT2G06908.1	0	0	0	0
AT2G06910.1	0	0	1	0
AT2G06912.1	1	0	0	2
AT2G06914.1	0	0	0	0
AT2G06917.1	0	0	0	0
AT2G06920.1	4	11	11	18
AT2G06922.1.Hnull	0	0	0	0
AT2G06925.1	1723	1047	255	227
AT2G06930.1	0	0	0	0
AT2G06940.1	0	0	0	0
AT2G06950.1	8236	5785	402	251
AT2G06960.1.Hnull	0	0	0	0
AT2G06965.1	1	0	0	0
AT2G06967.1	0	0	0	0
AT2G06973.1	0	0	0	0
AT2G06980.1	0	2	1	0
AT2G06983.1	178	98	0	0
AT2G06985.1	0	0	1	0
AT2G06990.1	1465	1703	966	1628
AT2G07000.1	3	6	10	2
AT2G07010.1	0	0	0	0
AT2G07020.1.Hnull	0	0	0	0
AT2G07030.1	0	0	0	0
AT2G07040.1	2462	2526	10	9
AT2G07042.1.Hnull	62	84	112	77
AT2G07050.1	3402	3602	3787	3290
AT2G07070.1	8	22	2	3
AT2G07080.1	18	62	52	56
AT2G07090.1	0	0	0	0
AT2G07100.1	6	6	3	0
AT2G07110.1	1	0	0	0
AT2G07120.1	0	0	0	0
AT2G07130.1	1	2	1	1
AT2G07140.1	17	13	64	86
AT2G07150.1	0	0	0	1
AT2G07155.1	0	0	0	0
AT2G07160.1	0	0	0	0
AT2G07170.1	1064	703	16	6
AT2G07180.1	2347	2242	1931	2473
AT2G07185.1	0	0	0	0
AT2G07190.1	0	0	0	0
AT2G07200.1	0	0	0	0
AT2G07210.1	0	0	0	0
AT2G07212.1	0	0	0	0
AT2G07213.1	0	0	3	3
AT2G07215.1.Hnull	1	0	2	0
AT2G07220.1	0	0	0	0
AT2G07230.1	0	0	0	0
AT2G07240.1	0	1	0	0
AT2G07250.1	0	0	0	0
AT2G07260.1	0	0	0	0
AT2G07270.1	1	2	1	6
AT2G07280.1	0	0	1	1
AT2G07290.1	1	0	0	0
AT2G07300.1	0	0	0	0
AT2G07310.1	0	0	0	0
AT2G07320.1	0	0	0	0
AT2G07330.1	0	0	0	0
AT2G07340.1	1521	761	401	299
AT2G07360.2	1581	5125	2337	3503
AT2G07362.1	0	0	0	0
AT2G07363.1	0	0	0	0
AT2G07365.1	0	1	0	1
AT2G07380.1	0	0	0	0
AT2G07390.1	0	0	0	0
AT2G07395.1	3	5	10	13
AT2G07400.1	3	2	6	5
AT2G07410.1.Hnull	0	0	0	0
AT2G07420.1	0	0	0	2
AT2G07430.1	0	0	0	0
AT2G07440.1	0	0	0	0
AT2G07450.1	0	0	0	0
AT2G07455.1	0	0	0	0
AT2G07460.1	0	0	2	0
AT2G07470.1	0	0	0	0
AT2G07480.1.Hnull	0	0	0	0
AT2G07483.1	0	0	0	0
AT2G07486.1	0	0	0	0
AT2G07490.1	0	0	0	0
AT2G07500.1	0	0	0	0
AT2G07505.1	0	0	0	0
AT2G07510.1	0	0	0	0
AT2G07520.1	0	0	2	2
AT2G07521.1	0	0	0	0
AT2G07530.1	0	0	0	0
AT2G07540.1	10	5	2	1
AT2G07550.1	0	0	0	0
AT2G07560.1	6830	7370	7	9
AT2G07570.1	0	0	0	0
AT2G07580.1	0	0	0	0
AT2G07590.1.Hnull	0	1	0	7
AT2G07599.2	7	24	7	22
AT2G07600.1	0	0	0	0
AT2G07620.1	0	0	0	0
AT2G07630.1	0	0	0	0
AT2G07635.1	3	5	4	1
AT2G07640.1	3	1	5	0
AT2G07650.1	0	1	0	1
AT2G07660.1	0	0	0	0
AT2G07663.1	0	0	0	0
AT2G07664.1	0	0	0	0
AT2G07666.1	0	0	0	0
AT2G07667.1	2	3	2	3
AT2G07669.1	1	3	2	6
AT2G07670.1.Hnull	0	0	0	0
AT2G07671.1	28	36	10	40
AT2G07672.1.Hnull	0	0	0	0
AT2G07673.1	0	0	0	0
AT2G07674.1	3	8	0	8
AT2G07675.1	0	0	0	0
AT2G07676.1.Hnull	0	0	0	1
AT2G07677.1	18	38	5	15
AT2G07678.1	0	1	0	1
AT2G07680.1	244	443	1370	922
AT2G07681.1	6	7	2	5
AT2G07682.1	0	3	0	3
AT2G07683.1.Hnull	1	1	5	1
AT2G07684.1.Hnull	0	1	3	2
AT2G07685.1	0	1	0	1
AT2G07686.1	2	1	1	2
AT2G07687.1	5	7	0	17
AT2G07688.1	4	11	7	20
AT2G07689.1	1	2	1	3
AT2G07690.1	1460	1707	121	41
AT2G07691.1	0	0	0	0
AT2G07692.1	3	1	3	1
AT2G07693.1	3	11	2	3
AT2G07694.1	0	2	0	1
AT2G07695.1	0	0	0	0
AT2G07696.1	2	10	0	9
AT2G07697.1	4	2	5	7
AT2G07698.1	35	51	32	87
AT2G07699.1.Hnull	0	0	0	0
AT2G07700.1	0	0	0	0
AT2G07701.1	0	0	0	0
AT2G07702.1	0	0	0	0
AT2G07703.1	0	1	0	2
AT2G07704.1	0	2	2	2
AT2G07705.1	3	1	0	3
AT2G07706.1	11	23	28	50
AT2G07707.1	0	1	0	1
AT2G07708.1	23	39	8	29
AT2G07709.1	249	638	391	769
AT2G07710.1	0	0	0	0
AT2G07711.1	157	150	101	111
AT2G07712.1	1	13	5	5
AT2G07713.1	0	0	0	0
AT2G07714.1	1	3	0	0
AT2G07715.1	185	142	68	165
AT2G07716.1.Hnull	0	2	1	2
AT2G07717.1	94	200	121	288
AT2G07718.1	0	2	0	2
AT2G07719.1	16	20	0	10
AT2G07720.1	0	0	0	0
AT2G07721.1	0	2	0	0
AT2G07722.1	0	0	0	0
AT2G07723.1.Hnull	34	67	110	65
AT2G07724.1	0	0	0	0
AT2G07725.1	4	11	5	17
AT2G07726.1	1	8	6	7
AT2G07727.1	5	14	4	24
AT2G07728.1	4	8	1	2
AT2G07729.1	1	0	0	0
AT2G07730.1	0	0	0	0
AT2G07731.1	2	5	0	3
AT2G07732.1.Hnull	2	136	6	173
AT2G07733.1	9	27	12	34
AT2G07734.1	2	11	5	8
AT2G07735.1	2	7	2	2
AT2G07736.1	0	1	0	2
AT2G07737.1	1	6	0	6
AT2G07738.1.Hnull	0	40	1	41
AT2G07739.1	14	9	5	11
AT2G07740.1	0	0	0	0
AT2G07741.1	0	0	0	1
AT2G07742.1	0	0	0	0
AT2G07743.1	0	0	0	0
AT2G07744.1	0	0	0	0
AT2G07745.1.Hnull	0	0	0	0
AT2G07746.1.Hnull	0	0	0	0
AT2G07747.1	3	22	1	4
AT2G07748.1	0	0	0	0
AT2G07749.1	0	11	3	6
AT2G07750.1	6	4	0	1
AT2G07751.1	0	0	0	0
AT2G07752.1	0	0	0	0
AT2G07753.1	0	0	0	1
AT2G07754.1	0	0	0	0
AT2G07755.1.Hnull	0	0	0	0
AT2G07756.1	0	0	0	0
AT2G07757.1	0	0	0	1
AT2G07758.1	0	0	0	0
AT2G07759.1	0	0	0	0
AT2G07760.1	0	0	0	0
AT2G07761.1	0	0	0	0
AT2G07762.1	0	0	0	0
AT2G07763.1	0	0	0	0
AT2G07764.1	0	0	0	0
AT2G07765.1	0	0	0	0
AT2G07766.1.Hnull	0	0	0	0
AT2G07767.1	3	8	0	1
AT2G07768.1	0	0	0	0
AT2G07769.1	1	4	0	0
AT2G07770.1	0	0	0	0
AT2G07771.2	0	0	0	0
AT2G07772.1	0	4	0	4
AT2G07773.1	1	2	0	4
AT2G07774.1	34	21	59	77
AT2G07775.1	0	2	0	5
AT2G07776.2	28	39	7	44
AT2G07777.1	0	1	0	5
AT2G07778.1	0	0	0	0
AT2G07779.1	7	11	0	12
AT2G07780.1	0	0	0	0
AT2G07783.1	6	21	3	15
AT2G07784.1	1	4	1	1
AT2G07785.1	8	11	2	7
AT2G07786.1	0	0	0	1
AT2G07787.1	10	28	5	22
AT2G07788.1	1	0	0	0
AT2G07789.1	0	0	0	0
AT2G07790.1	0	0	0	0
AT2G07791.1.Hnull	2	0	0	0
AT2G07792.1.Hnull	0	0	1	1
AT2G07793.1	0	0	0	0
AT2G07794.1.Hnull	0	0	0	0
AT2G07795.1	0	3	0	0
AT2G07798.1.Hnull	14	6	11	6
AT2G07799.1.Hnull	2	0	0	1
AT2G07806.2	3	10	1	2
AT2G07807.1	0	0	0	1
AT2G07808.1	7	3	27	55
AT2G07809.1	0	0	0	0
AT2G07811.1	30	49	18	103
AT2G07812.1	0	0	0	0
AT2G07813.1	0	0	0	0
AT2G07815.1	22	18	11	20
AT2G07820.1	0	0	0	2
AT2G07825.1	2	1	0	2
AT2G07826.1	0	1	0	2
AT2G07827.2.Hnull	9	9	15	12
AT2G07830.1	1	2	0	2
AT2G07835.1	0	5	0	2
AT2G07880.1.Hnull	0	0	0	0
AT2G07981.1	0	1	0	1
AT2G08986.1	1	0	0	0
AT2G09187.1	0	0	0	1
AT2G09388.1	0	0	0	0
AT2G09589.1	1	0	1	0
AT2G09790.1	0	0	0	0
AT2G09795.1	562	284	227	223
AT2G09800.1	253	184	128	125
AT2G09810.1	0	0	0	0
AT2G09820.1	0	0	0	1
AT2G09830.1	0	0	0	0
AT2G09838.1	0	0	0	0
AT2G09840.1	0	0	0	0
AT2G09850.1.Hnull	0	1	0	0
AT2G09860.1	3	6	0	0
AT2G09862.1	0	0	0	0
AT2G09865.1	0	0	0	0
AT2G09870.1	0	0	0	0
AT2G09880.1	0	0	0	0
AT2G09890.1	0	0	0	0
AT2G09900.1	0	0	0	0
AT2G09910.1	0	1	1	0
AT2G09920.1	0	0	0	0
AT2G09930.1.Hnull	0	0	0	0
AT2G09950.1	0	0	0	0
AT2G09953.1	0	0	0	0
AT2G09956.1	0	0	0	0
AT2G09960.1	0	0	1	5
AT2G09970.1.Hnull	8	25	2	14
AT2G09990.1.Hnull	1035	1817	704	2207
AT2G09992.1	0	0	0	0
AT2G09994.1	1	1	0	0
AT2G10000.1	0	1	0	0
AT2G10010.1	0	0	0	0
AT2G10014.1	0	0	0	0
AT2G10020.1	0	0	0	0
AT2G10030.1	1	0	0	0
AT2G10040.1	0	0	0	0
AT2G10050.1	0	0	0	0
AT2G10070.2	0	0	0	0
AT2G10080.1.Hnull	0	0	0	0
AT2G10090.1	0	0	0	0
AT2G10100.1	0	0	0	0
AT2G10105.1	0	0	0	0
AT2G10110.1	0	0	0	0
AT2G10120.1	0	0	0	0
AT2G10130.1	0	0	0	0
AT2G10140.1.Hnull	0	0	0	0
AT2G10150.1.Hnull	0	0	0	0
AT2G10160.1	0	0	0	0
AT2G10165.1	0	0	0	0
AT2G10170.1	0	0	0	0
AT2G10175.1	0	0	0	0
AT2G10180.1	0	1	0	0
AT2G10190.1	2	4	2	2
AT2G10200.1	0	0	0	0
AT2G10205.1	0	0	0	0
AT2G10210.1	0	0	0	0
AT2G10220.1	0	0	0	0
AT2G10223.1	0	0	0	0
AT2G10226.1	0	0	0	0
AT2G10230.1	0	0	0	0
AT2G10232.1	0	0	0	0
AT2G10234.1.Hnull	0	0	0	0
AT2G10237.1	0	0	0	0
AT2G10240.1	0	0	0	3
AT2G10250.1	0	2	4	14
AT2G10253.1	0	0	6	1
AT2G10256.1.Hnull	0	0	0	0
AT2G10260.1	1	0	0	0
AT2G10265.1	0	0	0	0
AT2G10270.1	0	0	0	0
AT2G10280.1	4	7	0	0
AT2G10285.1	1	0	0	0
AT2G10290.1	0	0	0	0
AT2G10300.1	0	0	0	0
AT2G10310.1	0	0	0	0
AT2G10320.1	0	0	0	0
AT2G10330.1.Hnull	0	0	0	0
AT2G10340.1.Hnull	0	0	0	0
AT2G10350.1	3	5	0	0
AT2G10360.1	0	0	0	0
AT2G10370.1	0	0	0	0
AT2G10380.1	0	0	0	0
AT2G10390.1	0	0	0	0
AT2G10400.1	2	5	0	0
AT2G10405.1	5	2	7	1
AT2G10410.1	4177	3035	4998	3342
AT2G10420.1	0	1	1	0
AT2G10430.1.Hnull	0	2	1	4
AT2G10440.1	31	18	1	16
AT2G10450.1	19	2	5	5
AT2G10460.1	0	0	0	0
AT2G10465.1	0	0	0	0
AT2G10470.1	0	0	0	0
AT2G10480.1	0	0	0	0
AT2G10490.1	0	0	0	0
AT2G10500.1	0	0	0	0
AT2G10510.1	0	0	0	0
AT2G10520.1	0	0	0	0
AT2G10530.1	0	0	0	0
AT2G10535.1	0	1	0	0
AT2G10537.1	0	0	0	0
AT2G10540.1.Hnull	0	0	0	5
AT2G10550.1.Hnull	0	3	0	0
AT2G10555.1	0	0	0	0
AT2G10557.1	0	0	0	0
AT2G10560.1	0	0	1	0
AT2G10570.1	0	0	0	0
AT2G10589.1	0	0	0	0
AT2G10590.1	0	0	0	0
AT2G10600.1	6	13	9	10
AT2G10602.1	0	0	0	0
AT2G10605.1	0	4	11	12
AT2G10606.1	7	1	10	5
AT2G10608.1	0	0	0	0
AT2G10610.1	0	0	0	0
AT2G10611.1.Hnull	0	0	0	0
AT2G10614.1	0	0	0	0
AT2G10617.1	0	0	0	0
AT2G10620.1	0	0	0	0
AT2G10630.1	0	0	0	0
AT2G10640.1	0	0	0	0
AT2G10650.1	0	0	0	0
AT2G10660.1	0	0	0	0
AT2G10670.1	0	0	0	0
AT2G10680.1.Hnull	0	2	2	1
AT2G10690.1	0	0	0	0
AT2G10710.1.Hnull	0	0	0	1
AT2G10720.1.Hnull	0	0	0	0
AT2G10730.1.Hnull	0	0	0	0
AT2G10735.1	27	32	12	7
AT2G10740.1	0	0	0	0
AT2G10760.1	0	0	0	0
AT2G10770.1	0	0	0	2
AT2G10780.1	0	0	0	0
AT2G10790.1	0	0	0	0
AT2G10800.1	0	0	0	0
AT2G10802.1.Hnull	0	0	0	0
AT2G10810.1	0	0	0	0
AT2G10820.1	0	0	0	1
AT2G10830.1	0	0	0	0
AT2G10833.1	0	0	0	0
AT2G10836.1	0	0	0	0
AT2G10840.1	0	0	0	0
AT2G10850.1	0	0	0	0
AT2G10860.1	0	0	0	0
AT2G10870.1	0	0	0	0
AT2G10880.1	0	0	0	0
AT2G10890.1	0	0	0	0
AT2G10895.1.Hnull	0	0	0	0
AT2G10900.1	0	1	1	1
AT2G10910.1	0	0	0	2
AT2G10920.1	2	4	0	2
AT2G10921.1	16	10	3	3
AT2G10930.1	29	14	3	3
AT2G10931.1	252	189	59	87
AT2G10940.1	8974	45036	36860	3266
AT2G10950.1	806	772	812	758
AT2G10960.1.Hnull	0	0	0	0
AT2G10965.1	0	0	0	0
AT2G10970.1	215	120	0	0
AT2G10975.1	0	1	0	1
AT2G10980.1	1	0	10	3
AT2G10990.1	1	0	12	3
AT2G11000.1	679	930	895	1091
AT2G11005.1	0	1	0	0
AT2G11010.1	0	0	0	0
AT2G11015.1	0	0	0	0
AT2G11020.1	0	0	0	0
AT2G11030.1	6	0	5	11
AT2G11040.1	0	0	0	0
AT2G11050.1	0	0	0	0
AT2G11060.1	0	0	0	0
AT2G11070.1	0	0	0	0
AT2G11080.1	0	0	0	0
AT2G11090.1	0	0	0	0
AT2G11100.1	0	0	0	0
AT2G11110.1	0	0	0	0
AT2G11115.1	0	0	0	0
AT2G11120.1	0	0	0	1
AT2G11130.1	0	0	0	0
AT2G11135.1	0	0	0	0
AT2G11140.1	187	136	112	133
AT2G11150.1	35	14	15	6
AT2G11165.1	1	0	1	0
AT2G11166.1.Hnull	0	0	0	0
AT2G11168.1	0	0	0	0
AT2G11170.1	2	1	0	0
AT2G11180.1.Hnull	0	0	0	0
AT2G11190.1.Hnull	0	0	0	0
AT2G11200.1	0	0	0	0
AT2G11210.1	0	0	0	0
AT2G11220.1	0	1	0	0
AT2G11230.1	1	1	0	0
AT2G11235.1	0	0	0	0
AT2G11240.1	7603	11911	10681	12243
AT2G11270.1	1	5	5	1
AT2G11271.1	1	0	1	0
AT2G11280.1	0	6	4	2
AT2G11290.1	0	0	2	0
AT2G11300.1	1	5	3	1
AT2G11310.1	0	2	3	6
AT2G11320.1	1	3	1	1
AT2G11330.1	2	2	0	1
AT2G11340.1	0	2	1	5
AT2G11345.1	0	0	0	0
AT2G11350.1	0	0	0	0
AT2G11360.1	0	0	0	0
AT2G11370.1	0	0	0	0
AT2G11380.1.Hnull	0	0	0	0
AT2G11390.1	0	0	0	0
AT2G11400.1	0	0	0	0
AT2G11405.1.Hnull	0	0	0	0
AT2G11410.1	4	17	3	2
AT2G11420.1	0	0	0	0
AT2G11430.1	0	0	0	0
AT2G11440.1	0	0	0	0
AT2G11450.1	0	3	0	1
AT2G11460.1	0	0	0	0
AT2G11462.1	0	0	0	0
AT2G11465.1	0	0	0	0
AT2G11480.1	0	1	0	0
AT2G11485.1	0	0	0	0
AT2G11490.1	0	0	0	0
AT2G11500.1	0	0	0	0
AT2G11502.1	0	0	0	0
AT2G11504.1.Hnull	0	0	0	0
AT2G11507.1	0	0	0	0
AT2G11510.1	0	0	0	0
AT2G11520.1	1446	958	1237	1678
AT2G11522.1	0	0	4	0
AT2G11530.1	0	0	0	0
AT2G11550.1	0	0	0	0
AT2G11570.1	75	79	0	0
AT2G11590.1.Hnull	0	0	0	0
AT2G11600.1	19	13	0	0
AT2G11610.1.Hnull	0	0	0	0
AT2G11620.1	0	0	0	0
AT2G11623.1	0	0	0	0
AT2G11626.1	4	3	0	1
AT2G11630.1	0	0	0	0
AT2G11640.1	0	0	0	0
AT2G11650.1	0	0	0	0
AT2G11651.1	0	0	0	0
AT2G11660.1	0	0	0	0
AT2G11670.1	0	0	0	0
AT2G11680.1	0	0	0	0
AT2G11690.1	0	0	0	0
AT2G11700.1	0	0	2	0
AT2G11720.1	0	0	0	0
AT2G11730.1	0	0	0	0
AT2G11740.1	0	0	0	0
AT2G11750.1	0	0	0	0
AT2G11770.1	0	0	0	0
AT2G11773.1	0	0	0	0
AT2G11775.1	0	0	0	0
AT2G11778.1	0	0	0	0
AT2G11780.1	0	0	0	0
AT2G11790.1	0	0	0	0
AT2G11800.1	0	0	1	0
AT2G11810.1.Hnull	88	113	233	137
AT2G11820.1.Hnull	0	0	0	0
AT2G11830.1	0	0	0	0
AT2G11840.1	0	0	0	0
AT2G11850.1.Hnull	0	0	0	0
AT2G11851.1	4	3	1	0
AT2G11852.1	0	0	0	0
AT2G11870.1	0	0	0	0
AT2G11880.1	209	147	102	113
AT2G11890.1	941	1582	1131	1667
AT2G11891.1	13	2	5	7
AT2G11910.1	6253	4046	1530	1772
AT2G11930.1	0	0	1	3
AT2G11940.1	0	0	1	1
AT2G11950.1	0	0	4	1
AT2G11970.1	0	0	0	0
AT2G11980.1	0	0	0	0
AT2G11983.1	0	1	0	1
AT2G11990.1	0	0	0	0
AT2G12000.1	0	0	0	0
AT2G12010.1	0	0	0	0
AT2G12020.1.Hnull	0	12	5	18
AT2G12025.1	0	0	0	0
AT2G12040.1	0	1	0	0
AT2G12050.1	6	0	0	0
AT2G12060.1	0	0	0	0
AT2G12066.1	1	2	0	0
AT2G12083.1	0	0	0	0
AT2G12100.1	0	1	0	0
AT2G12110.1.Hnull	0	0	0	0
AT2G12120.1	0	0	0	0
AT2G12130.1	0	0	0	0
AT2G12140.1	0	0	0	0
AT2G12150.1.Hnull	0	0	0	0
AT2G12160.1.Hnull	2	3	1	2
AT2G12170.1	89	95	16	24
AT2G12190.1	30	61	68	189
AT2G12195.1	0	0	0	0
AT2G12200.1	1	2	1	0
AT2G12210.1.Hnull	0	0	0	0
AT2G12230.1	1	2	1	2
AT2G12240.1	0	0	0	0
AT2G12250.1	1	4	2	0
AT2G12260.1	0	0	0	0
AT2G12270.1	0	1	0	2
AT2G12280.1	1	0	5	4
AT2G12290.1	13	3	0	1
AT2G12300.1	0	0	0	1
AT2G12305.1	0	0	0	0
AT2G12320.1	0	0	0	0
AT2G12325.1	0	0	0	0
AT2G12330.1	0	0	0	0
AT2G12340.1	0	0	1	0
AT2G12345.1	0	0	0	0
AT2G12360.1	0	2	0	0
AT2G12370.1.Hnull	4	0	0	0
AT2G12380.1	1	8	3	0
AT2G12385.1	0	0	9	17
AT2G12390.1	0	0	0	0
AT2G12400.1	1361	1542	476	397
AT2G12405.1	0	0	0	0
AT2G12407.1	0	0	0	0
AT2G12408.1	0	0	0	0
AT2G12410.1.Hnull	0	0	0	0
AT2G12420.1	1	4	1	0
AT2G12430.1	3	4	3	5
AT2G12440.1	23	69	59	37
AT2G12450.1	12	70	67	45
AT2G12460.1	32	61	150	203
AT2G12461.1	88	63	66	36
AT2G12462.1	728	525	286	112
AT2G12465.1	0	1	0	0
AT2G12470.1	0	0	0	0
AT2G12475.1	13	8	0	0
AT2G12480.2	2188	1452	2	7
AT2G12490.1	156	297	418	478
AT2G12500.1	1	12	0	2
AT2G12505.1	0	0	37	91
AT2G12510.1	0	0	0	0
AT2G12520.1	3	2	1	8
AT2G12530.1.Hnull	0	0	0	0
AT2G12540.1	0	1	26	57
AT2G12550.1	736	620	272	536
AT2G12557.1	0	0	0	0
AT2G12560.1	0	0	0	0
AT2G12570.1	0	0	0	0
AT2G12580.1	0	0	0	0
AT2G12590.1	0	0	0	0
AT2G12600.1	0	0	0	0
AT2G12610.1	0	0	0	0
AT2G12620.1	0	0	0	0
AT2G12630.1	0	0	0	0
AT2G12640.1	0	1	0	0
AT2G12646.1	0	0	0	0
AT2G12650.1	0	0	0	0
AT2G12660.1	0	1	1	0
AT2G12670.1	0	0	0	0
AT2G12680.1	6	2	8	4
AT2G12685.1	0	0	0	0
AT2G12690.1	0	0	0	0
AT2G12695.1	0	0	0	0
AT2G12700.1.Hnull	0	0	0	0
AT2G12710.1	0	0	0	0
AT2G12720.1	0	0	0	0
AT2G12730.1	0	0	0	0
AT2G12740.1	3	6	0	0
AT2G12750.1	0	0	0	0
AT2G12760.1	0	0	0	0
AT2G12770.1.Hnull	0	0	0	1
AT2G12780.1	0	2	2	0
AT2G12800.1	0	0	0	0
AT2G12810.1.Hnull	0	0	0	0
AT2G12815.1	0	0	0	0
AT2G12820.1	0	1	0	0
AT2G12830.1	0	0	0	0
AT2G12832.1	0	0	0	0
AT2G12835.1	0	0	0	0
AT2G12840.1	0	0	0	0
AT2G12845.1	0	0	0	0
AT2G12850.1	0	0	0	0
AT2G12855.1.Hnull	0	0	0	0
AT2G12860.1	0	0	0	0
AT2G12870.1	0	0	0	0
AT2G12875.1	1	2	0	0
AT2G12880.1	0	0	0	0
AT2G12890.1	0	0	0	0
AT2G12900.1	0	0	0	0
AT2G12905.1	2	4	3	4
AT2G12910.1	0	0	0	0
AT2G12920.1	0	0	0	0
AT2G12930.1	7	18	16	18
AT2G12935.1	1	1	4	0
AT2G12940.1	0	0	0	0
AT2G12945.1	0	0	0	0
AT2G12950.1	0	0	0	0
AT2G12960.1	1	0	0	0
AT2G12970.1	0	0	0	0
AT2G12977.1	0	0	0	0
AT2G12980.1	0	0	0	0
AT2G12990.1	0	0	0	0
AT2G13000.1	0	0	0	0
AT2G13010.1	0	0	0	0
AT2G13020.1	0	0	0	0
AT2G13040.1	0	3	5	5
AT2G13050.1	0	0	4	9
AT2G13060.1	0	1	0	1
AT2G13070.1	0	0	0	0
AT2G13080.1	0	6	6	0
AT2G13090.1	0	0	0	0
AT2G13100.1	876	1041	770	1380
AT2G13110.1	0	0	0	0
AT2G13115.1	1	2	8	4
AT2G13116.1	83	38	0	0
AT2G13118.1	0	0	0	0
AT2G13120.1	0	1	0	0
AT2G13125.1	1	0	0	0
AT2G13126.1	0	0	0	0
AT2G13128.1	32	17	21	30
AT2G13130.1	188	141	153	211
AT2G13140.1	0	0	0	0
AT2G13142.1.Hnull	0	0	0	0
AT2G13143.1	0	0	1	0
AT2G13145.1	0	0	0	0
AT2G13146.1	3	0	1	4
AT2G13150.1	0	0	0	0
AT2G13160.1	0	0	0	0
AT2G13170.1	0	0	0	0
AT2G13175.1.Hnull	0	0	0	0
AT2G13180.1	5	1	0	0
AT2G13190.1	0	0	0	0
AT2G13200.1	0	0	0	0
AT2G13230.1	0	0	0	0
AT2G13240.1	0	0	0	0
AT2G13250.1	0	1	1	0
AT2G13260.1	0	0	0	0
AT2G13270.1	0	0	0	0
AT2G13272.1	0	0	0	0
AT2G13273.1	0	1	0	0
AT2G13274.1	0	0	0	0
AT2G13280.1	1	2	0	0
AT2G13290.1.Hnull	726	397	1017	365
AT2G13295.1	1	0	0	0
AT2G13300.1	3	0	1	0
AT2G13310.1	0	0	0	0
AT2G13320.1	0	0	0	0
AT2G13330.1	0	0	0	0
AT2G13335.1	0	0	0	0
AT2G13350.1	920	895	2	6
AT2G13360.1	20944	21843	120883	98423
AT2G13363.1	0	0	0	0
AT2G13370.1	1236	3120	2939	4610
AT2G13380.1	0	1	6	3
AT2G13390.1	0	0	1	3
AT2G13400.1.Hnull	0	0	2	0
AT2G13410.1.Hnull	28	1	33	3
AT2G13420.1	44	72	58	128
AT2G13422.1	0	0	1	7
AT2G13430.1.Hnull	9	7	25	12
AT2G13431.1	1	1	16	42
AT2G13440.1	498	1257	1240	1330
AT2G13450.1	15	22	16	15
AT2G13460.1	0	0	2	6
AT2G13463.1	4	3	7	9
AT2G13469.1	0	0	0	0
AT2G13470.1	0	0	0	0
AT2G13480.1	0	0	0	0
AT2G13490.1	0	0	0	0
AT2G13500.1	0	0	0	0
AT2G13510.1	0	0	0	0
AT2G13520.1	0	0	0	0
AT2G13530.1	0	0	0	0
AT2G13540.1	1962	2617	1466	1807
AT2G13542.1	0	0	0	0
AT2G13547.1	8	5	4	4
AT2G13550.1	395	210	38	33
AT2G13560.1.Hnull	5990	4778	9382	5324
AT2G13570.1	1432	784	18	14
AT2G13580.1	32	53	13	11
AT2G13590.1	0	0	0	1
AT2G13600.1	264	169	51	79
AT2G13610.1	2126	1306	516	234
AT2G13620.1	226	314	0	0
AT2G13623.1	0	0	0	0
AT2G13630.1	0	1	0	0
AT2G13640.1	2	0	2	0
AT2G13650.1	936	631	693	747
AT2G13660.1	5	1	3	3
AT2G13665.1	135	133	98	187
AT2G13680.1	1795	3161	11	20
AT2G13690.1	801	834	240	275
AT2G13700.1	0	1	0	0
AT2G13705.1	0	0	0	0
AT2G13706.1	0	0	0	0
AT2G13710.1	0	0	0	0
AT2G13720.1	0	0	3	2
AT2G13730.1.Hnull	0	0	0	1
AT2G13740.1	1	0	0	0
AT2G13750.1	0	0	0	0
AT2G13760.1	7	4	0	0
AT2G13770.1.Hnull	3	4	2	4
AT2G13790.1	257	721	2306	2402
AT2G13800.1	121	237	285	422
AT2G13810.1	3	1	63	39
AT2G13820.1	547	244	23	9
AT2G13830.1	1	0	0	2
AT2G13840.1	337	277	248	335
AT2G13850.1	0	0	0	0
AT2G13851.1	0	0	0	0
AT2G13860.1	0	0	0	2
AT2G13865.1	0	0	0	0
AT2G13870.1	0	0	0	0
AT2G13890.1.Hnull	6	0	7	1
AT2G13895.1	0	0	0	0
AT2G13900.1	2	0	1	0
AT2G13910.1.Hnull	0	8	0	1
AT2G13920.1	2	2	0	0
AT2G13930.1	0	0	0	0
AT2G13940.1	0	1	0	0
AT2G13950.1	0	0	0	0
AT2G13960.1	68	53	46	45
AT2G13970.1	561	848	815	892
AT2G13975.1	599	410	418	378
AT2G13980.1	0	0	0	0
AT2G13990.1	0	0	0	0
AT2G14000.1	0	0	0	0
AT2G14010.1	0	0	0	0
AT2G14020.1	0	1	5	1
AT2G14030.1	0	0	0	0
AT2G14040.1	0	0	0	0
AT2G14045.1	951	704	1459	1185
AT2G14050.1	271	273	213	172
AT2G14060.1	3	4	3	0
AT2G14070.1	2	8	1	4
AT2G14080.1	460	642	2727	3673
AT2G14090.1	301	288	212	205
AT2G14095.1.Hnull	9	7	4	9
AT2G14100.1	0	1	4	1
AT2G14110.1.Hnull	255	131	217	145
AT2G14115.1	186	111	78	51
